# Coil_pos O-Beam err ps_pos
-0.1000000 1.0909042 0.1454170 -0.1098630
-0.0858680 0.5411399 0.0945961 -0.1098630
-0.0717360 0.1197925 0.0513915 -0.1098630
-0.0646700 0.0226395 0.0475271 -0.1098630
-0.0505380 0.1112895 0.0900800 -0.1098630
-0.0364060 0.5250751 0.1352645 -0.1098630
-0.0222740 1.0746295 0.1666840 -0.1098630
-0.0081420 1.5084520 0.1840717 -0.1098630
0.0059900 1.6280062 0.1782206 -0.1098630
0.0201220 1.3785785 0.1581798 -0.1098630
0.0342540 0.8743184 0.1208837 -0.1098630
0.0483860 0.3459977 0.0702472 -0.1098630
0.0625180 0.0353997 0.0500208 -0.1098630
0.0766500 0.0846678 0.0769745 -0.1098630
0.0907820 0.4712547 0.1268456 -0.1098630
0.1049140 1.0182411 0.1610105 -0.1098630
