# Coil O-Beam err ps_pos
-0.1000000 4.5148444 0.3519785 0.8898930
-0.0858680 0.8285988 0.2718251 0.8898930
-0.0717360 0.1697281 0.2682246 0.8898930
-0.0646700 1.1333692 0.2986079 0.8898930
-0.0505380 5.0901609 0.3887301 0.8898930
-0.0364060 10.1169213 0.4921608 0.8898930
-0.0222740 13.9047760 0.5421152 0.8898930
-0.0081420 14.7139004 0.5532731 0.8898930
0.0059900 12.1726503 0.5035982 0.8898930
0.0201220 7.4482640 0.4326918 0.8898930
0.0342540 2.7107305 0.3378856 0.8898930
0.0483860 0.1360777 0.2697736 0.8898930
0.0625180 0.9068862 0.2743680 0.8898930
0.0766500 4.6691109 0.3822448 0.8898930
0.0907820 9.6946996 0.4818944 0.8898930
0.1049140 13.6753160 0.5614960 0.8898930
