# Coil_pos O-Beam err ps_pos
0.0000000 682.8081611 20.4301764 108.0747070
5.0000000 977.4435980 24.2922802 108.0747070
10.0000000 1041.0253255 24.5576755 108.0747070
15.0000000 1026.9379650 24.4995625 108.0747070
20.0000000 854.4501833 22.6032367 108.0747070
25.0000000 458.1589142 16.0782259 108.0747070
30.0000000 134.6609283 7.8535848 108.0747070
35.0000000 20.4061171 2.1274848 108.0747070
40.0000000 139.0561190 8.5260777 108.0747070
45.0000000 384.5333105 14.6708609 108.0747070
50.0000000 762.5278451 21.2470077 108.0747070
55.0000000 1027.3941106 24.6938348 108.0747070
60.0000000 1133.9035367 26.0340926 108.0747070
65.0000000 944.6932574 23.4421696 108.0747070
70.0000000 611.0630094 18.4410151 108.0747070
75.0000000 264.3457287 11.4824447 108.0747070
80.0000000 81.9004771 5.9573831 108.0747070
85.0000000 32.0641701 3.0711905 108.0747070
90.0000000 226.3449639 11.1242481 108.0747070
95.0000000 566.5955668 18.2867933 108.0747070
