# Coil_pos O-Beam err ps_pos
0.0000000 126.1504757 19.4935887 109.7998050
5.0000000 200.0021902 24.5764115 109.7998050
10.0000000 286.1004461 28.3196045 109.7998050
15.0000000 268.8873880 28.4956137 109.7998050
20.0000000 265.6571455 27.2029410 109.7998050
25.0000000 202.8684740 23.2594067 109.7998050
30.0000000 90.9901168 16.7928556 109.7998050
35.0000000 -3.0372484 9.5393920 109.7998050
40.0000000 -32.4597961 7.4161985 109.7998050
45.0000000 24.9926591 14.1067360 109.7998050
50.0000000 157.2396075 21.7944947 109.7998050
55.0000000 260.9423180 26.8328157 109.7998050
60.0000000 357.7428540 29.9499583 109.7998050
65.0000000 323.9260865 29.1376046 109.7998050
70.0000000 283.6056038 26.5706605 109.7998050
75.0000000 180.1667259 21.3072758 109.7998050
80.0000000 31.9527093 13.1529464 109.7998050
85.0000000 -5.1460952 8.6023253 109.7998050
90.0000000 22.1797003 11.6619038 109.7998050
95.0000000 109.3207959 18.4390889 109.7998050
