# Coil_pos O-Beam err ps_pos
0.0000000 782.1965542 27.9677771 109.5000000
5.0000000 1396.8384633 37.3743022 109.5000000
10.0000000 1832.5812538 42.8086586 109.5000000
15.0000000 1908.4565476 43.6858850 109.5000000
20.0000000 1592.9525695 39.9118099 109.5000000
25.0000000 1017.1013055 31.8920257 109.5000000
30.0000000 420.0595967 20.4953555 109.5000000
35.0000000 49.7848898 7.0558408 109.5000000
40.0000000 60.0560072 7.7495811 109.5000000
45.0000000 446.6072502 21.1330843 109.5000000
50.0000000 1048.8999867 32.3867255 109.5000000
55.0000000 1616.7959652 40.2094015 109.5000000
60.0000000 1914.4422550 43.7543398 109.5000000
65.0000000 1818.2233482 42.6406303 109.5000000
70.0000000 1368.0999277 36.9878349 109.5000000
75.0000000 751.0127926 27.4046126 109.5000000
80.0000000 223.2444573 14.9413673 109.5000000
85.0000000 3.9824375 1.9956045 109.5000000
90.0000000 184.2884626 13.5752887 109.5000000
95.0000000 689.2796209 26.2541353 109.5000000
