# chi w+ err
-2.8665989 5.8474450 2.5509367
-2.6602155 2.7718464 2.1037231
-2.4687529 -2.4497861 3.0535499
-2.2760452 -4.5318459 3.6557373
-2.0870677 -19.4806297 5.1057562
-1.8956051 -15.8117770 4.0391980
-1.7041425 -3.6329010 4.4355470
-1.5139224 -0.4800663 2.5033639
-1.3224573 4.0275439 2.3864313
-1.1322372 3.6588263 2.1199453
-0.9407746 4.4121471 2.3981599
-0.7493120 5.3258549 3.2610901
-0.5590920 2.2831569 2.6815381
-0.3688719 4.7819060 2.6992494
-0.1761642 -5.0607358 5.3397130
0.0152984 -20.8230630 5.7868337
0.2055185 -16.3389126 5.7182711
0.3944960 -4.7303152 3.6303336
0.5872037 2.2488262 3.2976625
0.7786663 3.7290520 2.9072524
0.9688863 9.9589516 2.1647833
1.1591064 7.1949360 2.2561364
1.3518141 4.4866854 2.3547076
1.5420341 1.5046406 3.2523196
1.7322542 -4.3380345 4.2740786
1.9237168 -19.5155767 4.1284517
2.1139369 -9.8455741 6.1079961
2.3066446 -8.1175979 3.6135359
2.4956195 0.8070026 3.1631565
2.6870847 -0.1946666 2.9033440
2.8785473 5.4010509 2.5753866
3.0700099 4.1669579 2.5153477
