# chi w+ err
-1.1357156 1.2108136 0.1307771
-0.9291516 7.5489783 0.1733898
-0.7375214 6.8403344 0.1660430
-0.5446450 12.7822271 0.1590903
-0.3555021 10.6917771 0.3820230
-0.1638719 -4.5797653 0.4154011
0.0277583 -14.8702154 0.2983022
0.2181449 -10.4303130 0.2837129
0.4097776 -7.0010902 0.1646998
0.6001642 -2.2763490 0.1413341
0.7917944 0.5999992 0.1278084
0.9834246 4.8636326 0.1549471
1.1738111 7.5379784 0.1967735
1.3641977 14.2362016 0.1731744
1.5570741 16.6805050 0.3943929
1.7487042 4.0436467 0.5840273
1.9390908 -15.5440299 0.3925897
2.1282337 -12.8251480 0.2360867
2.3211101 -7.7607707 0.2292286
2.5127403 -7.6531704 0.2326255
2.7031268 -3.1227312 0.1862555
2.8935134 2.8659557 0.1404458
3.0863898 3.7407983 0.2120682
3.2767763 8.7712064 0.2147214
3.4671629 15.2086930 0.1526286
3.6587931 11.4801912 0.4014342
3.8491796 -3.4687560 0.4264883
4.0420560 -14.7190175 0.2573705
4.2311964 -10.7433121 0.2611166
4.4228291 -9.3001543 0.1691077
4.6144593 -5.4294964 0.1348111
4.8060895 0.6213808 0.1131145
