# Coil_pos O-Beam err ps_pos
-1.750000000000000000e+00 2.765871946755323219e+00 6.557438524302000360e+00 1.083750000000000000e+02
-1.500000000000000000e+00 8.260654474742073816e+00 1.009950493836207741e+01 1.083750000000000000e+02
-1.250000000000000000e+00 4.856566463987015680e+01 1.729161646579058242e+01 1.083750000000000000e+02
-1.000000000000000000e+00 1.030377813189133462e+02 2.215851980616033856e+01 1.083750000000000000e+02
-7.500000000000000000e-01 1.447846651895053185e+02 2.588435821108956958e+01 1.083750000000000000e+02
-5.000000000000000000e-01 1.534376156480075508e+02 2.729468812791236232e+01 1.083750000000000000e+02
-2.500000000000000000e-01 1.247903963139604286e+02 2.370653918225939449e+01 1.083750000000000000e+02
0.000000000000000000e+00 7.278733895771117091e+01 1.962141687034858251e+01 1.083750000000000000e+02
2.500000000000000000e-01 2.292960940399477821e+01 1.244989959798873258e+01 1.083750000000000000e+02
5.000000000000000000e-01 1.883732178497977694e-01 7.615773105863908654e+00 1.083750000000000000e+02
7.500000000000000000e-01 1.709268919358175509e+01 9.949874371066199430e+00 1.083750000000000000e+02
1.000000000000000000e+00 6.759377287674905688e+01 1.711724276862369010e+01 1.083750000000000000e+02
1.250000000000000000e+00 1.296228223980144207e+02 2.368543856465402087e+01 1.083750000000000000e+02
1.500000000000000000e+00 1.752039136546764837e+02 2.643860813280457123e+01 1.083750000000000000e+02
1.750000000000000000e+00 1.834446232654320852e+02 2.603843313258307290e+01 1.083750000000000000e+02
