# Coil O-Beam err ps_pos
-1.7500000 -6.9834652 7.6811457 110.0996090
-1.5000000 64.6492037 13.1529464 110.0996090
-1.2500000 212.0190171 21.7715411 110.0996090
-1.0000000 414.7420338 29.4788059 110.0996090
-0.7500000 586.7014131 34.3656806 110.0996090
-0.5000000 489.0898621 33.2415403 110.0996090
-0.2500000 341.1224673 29.1547595 110.0996090
0.0000000 256.2083513 24.0831892 110.0996090
0.2500000 59.8633567 14.4222051 110.0996090
0.5000000 2.0609995 8.1853528 110.0996090
0.7500000 59.4764242 13.1529464 110.0996090
1.0000000 244.0740003 22.6936114 110.0996090
1.2500000 466.2528020 30.4795013 110.0996090
1.5000000 559.6805537 34.0293991 110.0996090
1.7500000 514.4379063 33.5857112 110.0996090
