# Coil O-Beam err ps_pos
-1.7500000 -10.1436763 7.9372539 109.8750000
-1.5000000 -23.6582099 8.4852814 109.8750000
-1.2500000 32.2342430 15.4596248 109.8750000
-1.0000000 146.0506542 22.3606798 109.8750000
-0.7500000 188.3599825 25.6124969 109.8750000
-0.5000000 202.9001598 26.4007576 109.8750000
-0.2500000 180.1778951 24.5153013 109.8750000
0.0000000 92.5571546 19.3649167 109.8750000
0.2500000 47.6305034 13.8564065 109.8750000
0.5000000 -25.8648994 6.7823300 109.8750000
0.7500000 -24.1996500 8.6602540 109.8750000
1.0000000 49.5465110 16.2172747 109.8750000
1.2500000 86.3777065 21.1423745 109.8750000
1.5000000 145.8559074 24.8394847 109.8750000
1.7500000 202.2212211 26.3628527 109.8750000
