# Coil O-Beam err ps_pos
-1.7500000 31.0119696 10.0498756 108.1499020
-1.5000000 127.0420849 15.2970585 108.1499020
-1.2500000 402.4587117 26.4386081 108.1499020
-1.0000000 769.4892349 36.3180396 108.1499020
-0.7500000 1060.1936988 42.5088226 108.1499020
-0.5000000 1037.4292165 42.8135493 108.1499020
-0.2500000 887.1467839 39.4968353 108.1499020
0.0000000 538.5893972 31.2249900 108.1499020
0.2500000 202.4753777 20.0000000 108.1499020
0.5000000 41.3730762 10.4880885 108.1499020
0.7500000 105.6168112 14.6969385 108.1499020
1.0000000 437.8591623 27.2213152 108.1499020
1.2500000 762.8214866 36.3180396 108.1499020
1.5000000 1051.5959263 42.4499706 108.1499020
1.7500000 1128.5947109 43.8520239 108.1499020
