# Coil O-Beam err ps_pos
-1.7500000 19.2265613 8.7749644 109.5000000
-1.5000000 3.4465598 10.3440804 109.5000000
-1.2500000 147.8153918 20.5182845 109.5000000
-1.0000000 417.1699398 30.0665928 109.5000000
-0.7500000 622.0624022 35.5808937 109.5000000
-0.5000000 731.4354167 37.4432905 109.5000000
-0.2500000 676.8209701 35.0856096 109.5000000
0.0000000 434.4422198 28.0000000 109.5000000
0.2500000 182.9942069 18.3303028 109.5000000
0.5000000 29.9697696 9.3273791 109.5000000
0.7500000 42.1980244 12.2065556 109.5000000
1.0000000 215.1040354 22.2261108 109.5000000
1.2500000 442.6838114 30.5777697 109.5000000
1.5000000 625.3835472 35.6651090 109.5000000
1.7500000 725.8246379 37.3496988 109.5000000
