# Coil O-Beam err ps_pos
-0.1000000 0.0007711 0.3972125 -0.6372070
-0.0929340 0.0004748 0.3179797 -0.6372070
-0.0858680 0.0002301 0.3027650 -0.6372070
-0.0788020 0.0000661 0.2608746 -0.6372070
-0.0717360 0.0000023 0.2460804 -0.6372070
-0.0646700 0.0000463 0.2592725 -0.6372070
-0.0576040 0.0001930 0.3109126 -0.6372070
-0.0505380 0.0004248 0.3566822 -0.6372070
-0.0434720 0.0007140 0.4062019 -0.6372070
-0.0364060 0.0010262 0.4570436 -0.6372070
-0.0293400 0.0013242 0.4827583 -0.6372070
-0.0222740 0.0015723 0.4974937 -0.6372070
-0.0152080 0.0017410 0.5456902 -0.6372070
-0.0081420 0.0018102 0.5273097 -0.6372070
-0.0010760 0.0017717 0.5408327 -0.6372070
0.0059900 0.0016299 0.5041494 -0.6372070
0.0130560 0.0014019 0.4798727 -0.6372070
0.0201220 0.0011148 0.4336537 -0.6372070
0.0271880 0.0008028 0.3836955 -0.6372070
0.0342540 0.0005033 0.3391165 -0.6372070
0.0413200 0.0002518 0.3027650 -0.6372070
0.0483860 0.0000784 0.2671870 -0.6372070
0.0554520 0.0000038 0.2581989 -0.6372070
0.0625180 0.0000369 0.2614065 -0.6372070
0.0695840 0.0001737 0.3027650 -0.6372070
0.0766500 0.0003980 0.3507928 -0.6372070
0.0837160 0.0006828 0.3926406 -0.6372070
0.0907820 0.0009944 0.4472136 -0.6372070
0.0978480 0.0012955 0.4801620 -0.6372070
0.1049140 0.0015502 0.5257270 -0.6372070
0.1119800 0.0017281 0.5467073 -0.6372070
