# Coil O-Beam err ps_pos
-0.1000000 0.0005147 0.3295620 -0.3735350
-0.0929340 0.0003260 0.2778889 -0.3735350
-0.0858680 0.0001671 0.2614065 -0.3735350
-0.0788020 0.0000569 0.2291288 -0.3735350
-0.0717360 0.0000085 0.2211083 -0.3735350
-0.0646700 0.0000276 0.2204793 -0.3735350
-0.0576040 0.0001122 0.2640497 -0.3735350
-0.0505380 0.0002519 0.3013857 -0.3735350
-0.0434720 0.0004302 0.3419714 -0.3735350
-0.0364060 0.0006258 0.3752777 -0.3735350
-0.0293400 0.0008154 0.4196559 -0.3735350
-0.0222740 0.0009763 0.4490731 -0.3735350
-0.0152080 0.0010894 0.4681524 -0.3735350
-0.0081420 0.0011412 0.4675587 -0.3735350
-0.0010760 0.0011255 0.4636809 -0.3735350
0.0059900 0.0010441 0.4396969 -0.3735350
0.0130560 0.0009068 0.4129837 -0.3735350
0.0201220 0.0007300 0.3954604 -0.3735350
0.0271880 0.0005347 0.3270236 -0.3735350
0.0342540 0.0003443 0.3086710 -0.3735350
0.0413200 0.0001814 0.2527625 -0.3735350
0.0483860 0.0000654 0.2279132 -0.3735350
0.0554520 0.0000103 0.2223611 -0.3735350
0.0625180 0.0000226 0.2166667 -0.3735350
0.0695840 0.0001008 0.2598076 -0.3735350
0.0766500 0.0002355 0.2953341 -0.3735350
0.0837160 0.0004108 0.3333333 -0.3735350
0.0907820 0.0006057 0.3666667 -0.3735350
0.0978480 0.0007970 0.4206476 -0.3735350
0.1049140 0.0009618 0.4384315 -0.3735350
0.1119800 0.0010805 0.4642796 -0.3735350
