# Coil_pos O-Beam err ps_pos
0.0000000 918.7795312 30.3113763 109.4252930
5.0000000 1663.8467669 40.7902778 109.4252930
10.0000000 2204.0925749 46.9477643 109.4252930
15.0000000 2316.0424763 48.1252790 109.4252930
20.0000000 1953.3880213 44.1971495 109.4252930
25.0000000 1266.1424338 35.5828952 109.4252930
30.0000000 538.5871412 23.2074803 109.4252930
35.0000000 71.6778148 8.4662751 109.4252930
40.0000000 58.5530534 7.6519967 109.4252930
45.0000000 504.6419582 22.4642373 109.4252930
50.0000000 1225.4183674 35.0059762 109.4252930
55.0000000 1922.7307172 43.8489534 109.4252930
60.0000000 2308.1334305 48.0430373 109.4252930
65.0000000 2222.2033906 47.1402523 109.4252930
70.0000000 1700.4858449 41.2369476 109.4252930
75.0000000 958.7909947 30.9643504 109.4252930
80.0000000 303.9233864 17.4333986 109.4252930
85.0000000 6.7711885 2.6021507 109.4252930
90.0000000 190.2523979 13.7932011 109.4252930
95.0000000 778.4694008 27.9010645 109.4252930
