# Current(A) O-Beam err ps_pos
-1.7500000 0 0.0395461 108.4501950
-1.5000000 0 0.0309826 108.4501950
-1.2500000 0 0.0948521 108.4501950
-1.0000000 0 0.1451309 108.4501950
-0.7500000 0 0.1753427 108.4501950
-0.5000000 0 0.1816914 108.4501950
-0.2500000 0 0.1633810 108.4501950
0.0000000 0 0.1227083 108.4501950
0.2500000 0 0.0648075 108.4501950
0.5000000 0 0.0058279 108.4501950
0.7500000 0 0.0730292 108.4501950
1.0000000 0 0.1351955 108.4501950
1.2500000 0 0.1822660 108.4501950
1.5000000 0 0.2081671 108.4501950
1.7500000 0 0.2094527 108.4501950
