# Current(A) O-Beam err ps_pos
-1.7500000 0 0.0499251 108.2998050
-1.5000000 0 0.0619023 108.2998050
-1.2500000 0 0.1621675 108.2998050
-1.0000000 0 0.2410548 108.2998050
-0.7500000 0 0.2884338 108.2998050
-0.5000000 0 0.2983877 108.2998050
-0.2500000 0 0.2696772 108.2998050
0.0000000 0 0.2058796 108.2998050
0.2500000 0 0.1150081 108.2998050
0.5000000 0 0.0125132 108.2998050
0.7500000 0 0.1024564 108.2998050
1.0000000 0 0.2007787 108.2998050
1.2500000 0 0.2759359 108.2998050
1.5000000 0 0.3183424 108.2998050
1.7500000 0 0.3225386 108.2998050
