# Current(A) O-Beam err ps_pos
-1.7500000 0 0.0682166 108.9750980
-1.5000000 0 0.1025437 108.9750980
-1.2500000 0 0.2579922 108.9750980
-1.0000000 0 0.3798852 108.9750980
-0.7500000 0 0.4530421 108.9750980
-0.5000000 0 0.4684083 108.9750980
-0.2500000 0 0.4240837 108.9750980
0.0000000 0 0.3255510 108.9750980
0.2500000 0 0.1850217 108.9750980
0.5000000 0 0.0210218 108.9750980
0.7500000 0 0.1500482 108.9750980
1.0000000 0 0.3026345 108.9750980
1.2500000 0 0.4195453 108.9750980
1.5000000 0 0.4861399 108.9750980
1.7500000 0 0.4939939 108.9750980
