# Current(A) O-Beam err ps_pos
-1.7500000 0 0.0721919 108.1499020
-1.5000000 0 0.1106413 108.1499020
-1.2500000 0 0.2774157 108.1499020
-1.0000000 0 0.4081415 108.1499020
-0.7500000 0 0.4865934 108.1499020
-0.5000000 0 0.5030715 108.1499020
-0.2500000 0 0.4555395 108.1499020
0.0000000 0 0.3498720 108.1499020
0.2500000 0 0.1991454 108.1499020
0.5000000 0 0.0227072 108.1499020
0.7500000 0 0.1600577 108.1499020
1.0000000 0 0.3237777 108.1499020
1.2500000 0 0.4492399 108.1499020
1.5000000 0 0.5207684 108.1499020
1.7500000 0 0.5293311 108.1499020
