# Current(A) O-Beam err ps_pos
-1.7500000 0 0.0404282 108.3750000
-1.5000000 0 0.0343234 108.3750000
-1.2500000 0 0.1015443 108.3750000
-1.0000000 0 0.1545222 108.3750000
-0.7500000 0 0.1863584 108.3750000
-0.5000000 0 0.1930484 108.3750000
-0.2500000 0 0.1737535 108.3750000
0.0000000 0 0.1308947 108.3750000
0.2500000 0 0.0698982 108.3750000
0.5000000 0 0.0065787 108.3750000
0.7500000 0 0.0756674 108.3750000
1.0000000 0 0.1412505 108.3750000
1.2500000 0 0.1910010 108.3750000
1.5000000 0 0.2184954 108.3750000
1.7500000 0 0.2200924 108.3750000
