# Current(A) O-Beam err ps_pos
-1.7500000 0 0.0598694 108.5996090
-1.5000000 0 0.0849036 108.5996090
-1.2500000 0 0.2159639 108.5996090
-1.0000000 0 0.3188455 108.5996090
-0.7500000 0 0.3806062 108.5996090
-0.5000000 0 0.3935796 108.5996090
-0.2500000 0 0.3561580 108.5996090
0.0000000 0 0.2729811 108.5996090
0.2500000 0 0.1544027 108.5996090
0.5000000 0 0.0173420 108.5996090
0.7500000 0 0.1287204 108.5996090
1.0000000 0 0.2573304 108.5996090
1.2500000 0 0.3558139 108.5996090
1.5000000 0 0.4117588 108.5996090
1.7500000 0 0.4180493 108.5996090
