# Current(A) O-Beam err ps_pos
-1.7500000 0 0.0706644 108.6748050
-1.5000000 0 0.1075481 108.6748050
-1.2500000 0 0.2699883 108.6748050
-1.0000000 0 0.3973337 108.6748050
-0.7500000 0 0.4737592 108.6748050
-0.5000000 0 0.4898118 108.6748050
-0.2500000 0 0.4435073 108.6748050
0.0000000 0 0.3405703 108.6748050
0.2500000 0 0.1937463 108.6748050
0.5000000 0 0.0220636 108.6748050
0.7500000 0 0.1562208 108.6748050
1.0000000 0 0.3156802 108.6748050
1.2500000 0 0.4378703 108.6748050
1.5000000 0 0.5075115 108.6748050
1.7500000 0 0.5158040 108.6748050
