# Current(A) O-Beam err ps_pos
-1.7500000 0 0.0619127 108.2250980
-1.5000000 0 0.0893208 108.2250980
-1.2500000 0 0.2264432 108.2250980
-1.0000000 0 0.3340494 108.2250980
-0.7500000 0 0.3986420 108.2250980
-0.5000000 0 0.4122101 108.2250980
-0.2500000 0 0.3730731 108.2250980
0.0000000 0 0.2860801 108.2250980
0.2500000 0 0.1620464 108.2250980
0.5000000 0 0.0182647 108.2250980
0.7500000 0 0.1339878 108.2250980
1.0000000 0 0.2685578 108.2250980
1.2500000 0 0.3716241 108.2250980
1.5000000 0 0.4302202 108.2250980
1.7500000 0 0.4369051 108.2250980
