# Current(A) O-Beam err ps_pos
-1.7500000 0 0.0763427 108.8999020
-1.5000000 0 0.1189465 108.8999020
-1.2500000 0 0.2973992 108.8999020
-1.0000000 0 0.4372347 108.8999020
-0.7500000 0 0.5211481 108.8999020
-0.5000000 0 0.5387730 108.8999020
-0.2500000 0 0.4879327 108.8999020
0.0000000 0 0.3749065 108.8999020
0.2500000 0 0.2136634 108.8999020
0.5000000 0 0.0244341 108.8999020
0.7500000 0 0.1704319 108.8999020
1.0000000 0 0.3456314 108.8999020
1.2500000 0 0.4799082 108.8999020
1.5000000 0 0.5565186 108.8999020
1.7500000 0 0.5658035 108.8999020
