# Current(A) O-Beam err ps_pos
-1.7500000 0 0.0776731 108.7500000
-1.5000000 0 0.1215811 108.7500000
-1.2500000 0 0.3037496 108.7500000
-1.0000000 0 0.4464841 108.7500000
-0.7500000 0 0.5321355 108.7500000
-0.5000000 0 0.5501254 108.7500000
-0.2500000 0 0.4982322 108.7500000
0.0000000 0 0.3828643 108.7500000
0.2500000 0 0.2182746 108.7500000
0.5000000 0 0.0249816 108.7500000
0.7500000 0 0.1737425 108.7500000
1.0000000 0 0.3525946 108.7500000
1.2500000 0 0.4896755 108.7500000
1.5000000 0 0.5679018 108.7500000
1.7500000 0 0.5774150 108.7500000
