# Current(A) O-Beam err ps_pos
-1.7500000 0 0.0783936 108.0747070
-1.5000000 0 0.1230030 108.0747070
-1.2500000 0 0.3071789 108.0747070
-1.0000000 0 0.4514795 108.0747070
-0.7500000 0 0.5380700 108.0747070
-0.5000000 0 0.5562570 108.0747070
-0.2500000 0 0.5037950 108.0747070
0.0000000 0 0.3871619 108.0747070
0.2500000 0 0.2207643 108.0747070
0.5000000 0 0.0252770 108.0747070
0.7500000 0 0.1755329 108.0747070
1.0000000 0 0.3563581 108.0747070
1.2500000 0 0.4949539 108.0747070
1.5000000 0 0.5740529 108.0747070
1.7500000 0 0.5836891 108.0747070
