# chi w+ err
-1.3362044 -4.8563075 0.0920924
-1.1324979 -3.1525335 0.1374131
-0.9423717 0.5825019 0.0959196
-0.7522430 3.1553696 0.1165073
-0.5633507 7.9906300 0.1710986
-0.3732246 11.5687426 0.2951545
-0.1830984 5.5179430 0.2801889
0.0070303 -7.4050045 0.7337520
0.1946862 -18.3568242 0.2970031
0.3848149 -12.2005429 0.2526858
0.5749411 -5.3547983 0.1736229
0.7650673 -4.6052353 0.1698414
0.9539596 -1.3502207 0.1211399
1.1440883 4.1059448 0.1571890
1.3342145 6.4328499 0.2313442
1.5231068 14.0387830 0.1892968
1.7132330 19.6251414 0.3996974
1.9021253 -2.0439836 0.6067285
2.0922540 -21.6335633 0.5960523
2.2811463 -13.3093613 0.2482435
2.4712724 -8.1901064 0.1049156
2.6613986 -7.6718700 0.2068162
2.8502909 -2.5419385 0.1470886
3.0404196 0.7856674 0.0980995
3.2293119 5.4573663 0.1820199
3.4206720 6.9001926 0.1876636
3.6083304 12.6935698 0.4353469
3.7984566 7.1947673 0.4220147
3.9873489 -12.1719836 0.4640058
4.1774776 -12.8202137 0.1745713
4.3688377 -9.2753338 0.2310091
4.5564961 -6.6697948 0.1791956
