# chi w+ err
-0.9364799 15.0581584 1.9102751
-0.2863662 20.4527253 2.2064663
0.3204071 14.8441661 2.4801834
0.9271885 19.2469028 2.4996802
1.5300240 12.1462650 3.2409552
2.1367973 23.7345570 4.6853346
2.7435706 29.8233812 6.9246864
3.3503520 35.7456268 6.3746456
3.9492415 19.0753592 4.8873153
4.5560229 12.0646321 3.4550269
5.1627962 1.1407958 2.9219984
5.7695695 8.3367459 3.2599668
6.3724050 16.3769878 1.9615048
6.9791864 16.0568748 3.1846882
7.5859597 13.8762114 2.5046420
8.1887952 21.1210037 5.6231854
8.7955685 39.2360013 7.4988637
9.3984040 29.3074600 8.7260920
10.0051854 13.6618089 9.9194498
10.6080208 10.1710210 2.9083291
11.2147941 16.6279438 3.1550973
11.8215674 15.6046811 3.7981823
12.4244029 9.7528574 2.9069262
13.0311843 15.6351192 3.0750922
13.6340198 15.8713108 2.1463511
14.2447309 15.6328508 3.9612597
14.8436286 22.3372784 5.2296685
15.4504019 34.0916146 9.8025824
16.0532373 33.9528796 6.4628655
16.6600187 24.9418383 4.8508520
17.2707299 16.4719407 4.1769025
17.8696275 15.5615460 2.2393213
