# chi w+ err
-3.3873208 18.8551101 2.1083811
-3.1805455 21.5934305 2.3565826
-2.9875551 18.6514192 2.3954931
-2.7945622 21.5836894 2.4718582
-2.6028242 16.0875062 3.2192758
-2.4098338 23.8385107 4.1019114
-2.2168434 39.5147283 6.1825477
-2.0238504 39.3789417 6.6012767
-1.8333675 21.8857757 4.7805901
-1.6403746 16.1346083 3.0987389
-1.4473842 6.7854885 2.5788490
-1.2543938 12.5551275 2.6730382
-1.0626558 17.0913711 2.1713552
-0.8696629 18.2432543 2.7018758
-0.6766725 15.6784594 2.5448903
-0.4849345 27.8778950 5.0597553
-0.2919441 37.6330645 7.2425610
-0.1002062 30.2621902 7.5513538
0.0927868 24.4183236 8.1842857
0.2845247 12.9487263 2.5346813
0.4775151 18.4905733 3.1039413
0.6705055 18.6960998 3.6858179
0.8622435 12.3096529 2.9163330
1.0552364 18.1321620 2.8782029
1.2469744 17.6994225 2.3627330
1.4412172 20.5706185 3.6124196
1.6317027 28.8944627 4.5893146
1.8246931 44.5330358 10.4508956
2.0164311 32.2910025 5.1304355
2.2094240 26.8527304 4.1024796
2.4036669 20.9993071 3.7079056
2.5941524 17.9059703 2.3392631
