# Coil O-Beam err ps_pos
-0.1000000 0.0002859 0.1536591 -0.0988770
-0.0858680 -0.0000449 0.0829156 -0.0988770
-0.0717360 -0.0000898 0.0716860 -0.0988770
-0.0646700 -0.0000079 0.1006920 -0.0988770
-0.0505380 0.0003392 0.1715938 -0.0988770
-0.0364060 0.0007436 0.2288255 -0.0988770
-0.0222740 0.0010644 0.2632595 -0.0988770
-0.0081420 0.0011498 0.2691293 -0.0988770
0.0059900 0.0009799 0.2463624 -0.0988770
0.0201220 0.0007484 0.2044641 -0.0988770
0.0342540 0.0001685 0.1282900 -0.0988770
0.0483860 -0.0000579 0.0712000 -0.0988770
0.0625180 -0.0000504 0.0912871 -0.0988770
0.0766500 0.0002888 0.1637240 -0.0988770
0.0907820 0.0006040 0.2190573 -0.0988770
0.1049140 0.0010478 0.2611407 -0.0988770
