# Coil_pos O-Beam err ps_pos
-0.1000000 6.3833333 0.3261731 1.1865230
-0.0858680 1.6833333 0.1674979 1.1865230
-0.0717360 0.9833333 0.1280191 1.1865230
-0.0646700 2.9000000 0.2198484 1.1865230
-0.0505380 8.8833333 0.3847799 1.1865230
-0.0364060 14.3833333 0.4896144 1.1865230
-0.0222740 19.3333333 0.5676462 1.1865230
-0.0081420 20.8833333 0.5899623 1.1865230
0.0059900 15.3500000 0.5057997 1.1865230
0.0201220 10.2500000 0.4133199 1.1865230
0.0342540 3.2166667 0.2315407 1.1865230
0.0483860 0.9500000 0.1258306 1.1865230
0.0625180 2.3500000 0.1979057 1.1865230
0.0766500 7.8500000 0.3617089 1.1865230
0.0907820 14.0333333 0.4836206 1.1865230
0.1049140 18.5333333 0.5557777 1.1865230
