# Coil_pos O-Beam err ps_pos
-0.1000000 3.5653054 0.2426703 -0.7250980
-0.0858680 0.6910138 0.1255543 -0.7250980
-0.0717360 0.1178644 0.0961047 -0.7250980
-0.0646700 0.8246014 0.1348868 -0.7250980
-0.0505380 3.8176524 0.2387758 -0.7250980
-0.0364060 7.6799147 0.3365470 -0.7250980
-0.0222740 10.6425579 0.3894440 -0.7250980
-0.0081420 11.3487575 0.4003471 -0.7250980
0.0059900 9.4750897 0.3694967 -0.7250980
0.0201220 5.8796527 0.2902346 -0.7250980
0.0342540 2.2090766 0.1986063 -0.7250980
0.0483860 0.1444037 0.0961047 -0.7250980
0.0625180 0.6312083 0.1263813 -0.7250980
0.0766500 3.4465446 0.2328865 -0.7250980
0.0907820 7.3010513 0.3140241 -0.7250980
0.1049140 10.4294500 0.3881044 -0.7250980
