# Coil O-Beam err ps_pos
-1.4000000 1.6473377 0.3126944 -0.0219730
-1.2000000 1.3248644 0.2808717 -0.0219730
-1.0000000 0.9014765 0.2315407 -0.0219730
-0.8000000 0.5080687 0.1748015 -0.0219730
-0.6000000 0.2662672 0.1740051 -0.0219730
-0.4000000 0.2508276 0.1732051 -0.0219730
-0.2000000 0.4665231 0.2185813 -0.0219730
0.0000000 0.8466692 0.2687419 -0.0219730
0.2000000 1.2737397 0.2990726 -0.0219730
0.4000000 1.6157013 0.3253204 -0.0219730
0.6000000 1.7668328 0.3308239 -0.0219730
0.8000000 1.6804103 0.3153481 -0.0219730
1.0000000 1.3831523 0.2958040 -0.0219730
1.2000000 0.9669593 0.2527625 -0.0219730
1.4000000 0.5605017 0.1993043 -0.0219730
