# Coil O-Beam err ps_pos
-0.1000000 0.0025443 0.3337497 0.6042480
-0.0858680 0.0015799 0.2629956 0.6042480
-0.0717360 0.0014974 0.2560382 0.6042480
-0.0646700 0.0019225 0.2901149 0.6042480
-0.0505380 0.0031407 0.3708099 0.6042480
-0.0364060 0.0047142 0.4543004 0.6042480
-0.0222740 0.0057421 0.5013870 0.6042480
-0.0081420 0.0058436 0.5057997 0.6042480
0.0059900 0.0050822 0.4716991 0.6042480
0.0201220 0.0033564 0.3833333 0.6042480
0.0342540 0.0019415 0.2915476 0.6042480
0.0483860 0.0013832 0.2460804 0.6042480
0.0625180 0.0018717 0.2862594 0.6042480
0.0766500 0.0024872 0.3299832 0.6042480
0.0907820 0.0045873 0.4481443 0.6042480
0.1049140 0.0057865 0.5033223 0.6042480
