# Coil_pos O-Beam err ps_pos
0.0000000 522.9579065 27.5317998 108.6000980
5.0000000 894.2438477 35.0285598 108.6000980
10.0000000 1141.6422278 39.6232255 108.6000980
15.0000000 1162.6062844 40.7798970 108.6000980
20.0000000 948.4464045 38.0788655 108.6000980
25.0000000 587.9319745 30.3479818 108.6000980
30.0000000 230.4964208 22.1585198 108.6000980
35.0000000 24.2969740 11.8321596 108.6000980
40.0000000 54.8034165 11.5758369 108.6000980
45.0000000 309.3708114 20.3960781 108.6000980
50.0000000 682.4808356 30.2654919 108.6000980
55.0000000 1019.4791820 38.2753184 108.6000980
60.0000000 1180.6798534 40.9023227 108.6000980
65.0000000 1099.2650843 39.7869325 108.6000980
70.0000000 808.9813406 35.7631095 108.6000980
75.0000000 430.1513912 26.1533937 108.6000980
80.0000000 119.8004553 17.4642492 108.6000980
85.0000000 6.5691641 10.4880885 108.6000980
90.0000000 137.3919489 15.3622915 108.6000980
95.0000000 458.0426947 26.9443872 108.6000980
