# Current(A) O-Beam err ps_pos
-1.7500000 124.7521390 11.1692497 109.5747070
-1.5000000 226.7553129 15.0583968 109.5747070
-1.2500000 643.1921785 25.3612338 109.5747070
-1.0000000 1177.9609629 34.3214359 109.5747070
-0.7500000 1579.2369240 39.7396140 109.5747070
-0.5000000 1658.0576209 40.7192537 109.5747070
-0.2500000 1377.3060756 37.1120745 109.5747070
0.0000000 869.1893048 29.4820166 109.5747070
0.2500000 372.9815101 19.3127292 109.5747070
0.5000000 122.3489080 11.0611441 109.5747070
0.7500000 235.3153831 15.3399929 109.5747070
1.0000000 658.6845738 25.6648509 109.5747070
1.2500000 1193.0902509 34.5411385 109.5747070
1.5000000 1586.8786652 39.8356457 109.5747070
1.7500000 1654.6132942 40.6769381 109.5747070
