# Coil_pos O-Beam err ps_pos
-1.750000000000000000e+00 6.461685858564417018e+00 0.000000000000000000e+00 1.094252929999999964e+02
-1.500000000000000000e+00 1.792903763733702363e+02 0.000000000000000000e+00 1.094252929999999964e+02
-1.250000000000000000e+00 5.208139456084066978e+02 0.000000000000000000e+00 1.094252929999999964e+02
-1.000000000000000000e+00 8.701138686597741980e+02 0.000000000000000000e+00 1.094252929999999964e+02
-7.500000000000000000e-01 1.062607570765880155e+03 0.000000000000000000e+00 1.094252929999999964e+02
-5.000000000000000000e-01 1.007596179618771089e+03 0.000000000000000000e+00 1.094252929999999964e+02
-2.500000000000000000e-01 7.309998738349099767e+02 0.000000000000000000e+00 1.094252929999999964e+02
0.000000000000000000e+00 3.631448549713418856e+02 0.000000000000000000e+00 1.094252929999999964e+02
2.500000000000000000e-01 7.735645792840374213e+01 0.000000000000000000e+00 1.094252929999999964e+02
5.000000000000000000e-01 8.291999007302324642e+00 0.000000000000000000e+00 1.094252929999999964e+02
7.500000000000000000e-01 1.884931586483151875e+02 0.000000000000000000e+00 1.094252929999999964e+02
1.000000000000000000e+00 5.330530448897706037e+02 0.000000000000000000e+00 1.094252929999999964e+02
1.250000000000000000e+00 8.796224858744483299e+02 0.000000000000000000e+00 1.094252929999999964e+02
1.500000000000000000e+00 1.064905450980102614e+03 0.000000000000000000e+00 1.094252929999999964e+02
1.750000000000000000e+00 1.001600611336799261e+03 0.000000000000000000e+00 1.094252929999999964e+02
