# Current(A) O-Beam err ps_pos
-1.7500000 41.9622937 6.4778309 109.2001950
-1.5000000 98.8837627 9.9440315 109.2001950
-1.2500000 331.1592904 18.1977826 109.2001950
-1.0000000 629.4093631 25.0880323 109.2001950
-0.7500000 853.1867792 29.2093612 109.2001950
-0.5000000 897.1138216 29.9518584 109.2001950
-0.2500000 740.5050633 27.2122227 109.2001950
0.0000000 457.1082209 21.3800894 109.2001950
0.2500000 180.3760478 13.4304150 109.2001950
0.5000000 40.6228765 6.3736078 109.2001950
0.7500000 103.6590570 10.1813092 109.2001950
1.0000000 339.8005894 18.4336808 109.2001950
1.2500000 637.8474429 25.2556418 109.2001950
1.5000000 857.4481133 29.2822150 109.2001950
1.7500000 895.1917312 29.9197549 109.2001950
