# Current(A) O-Beam err ps_pos
-1.7500000 92.9901619 9.6431407 109.6503910
-1.5000000 177.6979286 13.3303387 109.6503910
-1.2500000 523.4820688 22.8797305 109.6503910
-1.0000000 967.5114407 31.1048459 109.6503910
-0.7500000 1300.6908290 36.0650916 109.6503910
-0.5000000 1366.1247216 36.9611245 109.6503910
-0.2500000 1133.0000362 33.6600659 109.6503910
0.0000000 711.0961241 26.6663857 109.6503910
0.2500000 299.0892317 17.2941965 109.6503910
0.5000000 90.9950585 9.5391330 109.6503910
0.7500000 184.8059854 13.5943365 109.6503910
1.0000000 536.3460697 23.1591466 109.6503910
1.2500000 980.0736748 31.3061284 109.6503910
1.5000000 1307.0356912 36.1529486 109.6503910
1.7500000 1363.2643945 36.9224105 109.6503910
