# Current(A) O-Beam err ps_pos
-1.7500000 135.4242580 11.6371929 109.4252930
-1.5000000 243.2387402 15.5961130 109.4252930
-1.2500000 683.4151321 26.1422098 109.4252930
-1.0000000 1248.6726294 35.3365622 109.4252930
-0.7500000 1672.8292418 40.9002352 109.4252930
-0.5000000 1756.1479448 41.9064189 109.4252930
-0.2500000 1459.3936328 38.2020108 109.4252930
0.0000000 922.3090846 30.3695421 109.4252930
0.2500000 397.8095358 19.9451632 109.4252930
0.5000000 132.8838949 11.5275277 109.4252930
0.7500000 252.2866912 15.8835352 109.4252930
1.0000000 699.7906756 26.4535570 109.4252930
1.2500000 1264.6644552 35.5621211 109.4252930
1.5000000 1680.9067383 40.9988626 109.4252930
1.7500000 1752.5073926 41.8629597 109.4252930
