# Current(A) O-Beam err ps_pos
-1.7500000 21.5423600 4.6413748 109.1254880
-1.5000000 67.3445254 8.2063710 109.1254880
-1.2500000 254.1970631 15.9435587 109.1254880
-1.0000000 494.1103144 22.2285923 109.1254880
-0.7500000 674.1081037 25.9635919 109.1254880
-0.5000000 709.4287028 26.6351028 109.1254880
-0.2500000 583.4394906 24.1544921 109.1254880
0.0000000 355.4693256 18.8538942 109.1254880
0.2500000 132.8703330 11.5269394 109.1254880
0.5000000 20.4653301 4.5238623 109.1254880
0.7500000 71.1863130 8.4371982 109.1254880
1.0000000 261.1485543 16.1600914 109.1254880
1.2500000 500.8980223 22.3807512 109.1254880
1.5000000 677.5356679 26.0295153 109.1254880
1.7500000 707.8820686 26.6060532 109.1254880
