# Current(A) O-Beam err ps_pos
-1.7500000 58.5853084 7.6541040 110.0253910
-1.5000000 124.5585378 11.1605796 110.0253910
-1.2500000 393.8110235 19.8446724 110.0253910
-1.0000000 739.5506646 27.1946808 110.0253910
-0.7500000 998.9672453 31.6064431 110.0253910
-0.5000000 1049.9004336 32.4021671 110.0253910
-0.2500000 868.3655824 29.4680434 110.0253910
0.0000000 539.8481982 23.2346336 110.0253910
0.2500000 219.0484649 14.8002860 110.0253910
0.5000000 57.0322926 7.5519728 110.0253910
0.7500000 130.0937609 11.4058652 110.0253910
1.0000000 403.8279245 20.0954702 110.0253910
1.2500000 749.3322431 27.3739336 110.0253910
1.5000000 1003.9073168 31.6844965 110.0253910
1.7500000 1047.6726999 32.3677726 110.0253910
