# Current(A) O-Beam err ps_pos
-1.7500000 94.3431249 9.7130389 110.0996090
-1.5000000 179.7876231 13.4084907 110.0996090
-1.2500000 528.5813532 22.9908972 110.0996090
-1.0000000 976.4759465 31.2486151 110.0996090
-0.7500000 1312.5560404 36.2292153 110.0996090
-0.5000000 1378.5601699 37.1289667 110.0996090
-0.2500000 1143.4067261 33.8142977 110.0996090
0.0000000 717.8304099 26.7923573 110.0996090
0.2500000 302.2368167 17.3849595 110.0996090
0.5000000 92.3306366 9.6088832 110.0996090
0.7500000 186.9575312 13.6732414 110.0996090
1.0000000 541.5573157 23.2713841 110.0996090
1.2500000 989.1475292 31.4507159 110.0996090
1.5000000 1318.9561457 36.3174358 110.0996090
1.7500000 1375.6749662 37.0900926 110.0996090
