# Current(A) O-Beam err ps_pos
-1.7500000 29.7393393 5.4533787 109.9497070
-1.5000000 80.0050208 8.9445526 109.9497070
-1.2500000 285.0912764 16.8846462 109.9497070
-1.0000000 548.4221218 23.4184142 109.9497070
-0.7500000 745.9939495 27.3128898 109.9497070
-0.5000000 784.7693511 28.0137350 109.9497070
-0.2500000 646.4888263 25.4261445 109.9497070
0.0000000 396.2692586 19.9065130 109.9497070
0.2500000 151.9400993 12.3263985 109.9497070
0.5000000 28.5569818 5.3438733 109.9497070
0.7500000 84.2215371 9.1772293 109.9497070
1.0000000 292.7210911 17.1090938 109.9497070
1.2500000 555.8723229 23.5769447 109.9497070
1.5000000 749.7562060 27.3816765 109.9497070
1.7500000 783.0720011 27.9834237 109.9497070
