# Current(A) O-Beam err ps_pos
-1.7500000 110.9017559 10.5309903 109.3500980
-1.5000000 205.3629556 14.3304904 109.3500980
-1.2500000 590.9904257 24.3102946 109.3500980
-1.0000000 1086.1906525 32.9574066 109.3500980
-0.7500000 1457.7718746 38.1807789 109.3500980
-0.5000000 1530.7550139 39.1248644 109.3500980
-0.2500000 1270.7720201 35.6478894 109.3500980
0.0000000 800.2499215 28.2886889 109.3500980
0.2500000 340.7594492 18.4596709 109.3500980
0.5000000 108.6764964 10.4248020 109.3500980
0.7500000 213.2898491 14.6044462 109.3500980
1.0000000 605.3366622 24.6035904 109.3500980
1.2500000 1100.2005303 33.1692709 109.3500980
1.5000000 1464.8480883 38.2733339 109.3500980
1.7500000 1527.5653508 39.0840805 109.3500980
