# Current(A) O-Beam err ps_pos
-1.7500000 125.5295003 11.2039948 110.1748050
-1.5000000 227.9559722 15.0982109 110.1748050
-1.2500000 646.1220340 25.4189306 110.1748050
-1.0000000 1183.1116280 34.3963898 110.1748050
-0.7500000 1586.0542246 39.8252963 110.1748050
-0.5000000 1665.2025580 40.8068935 110.1748050
-0.2500000 1383.2853650 37.1925445 110.1748050
0.0000000 873.0585701 29.5475645 110.1748050
0.2500000 374.7899931 19.3594936 110.1748050
0.5000000 123.1162805 11.0957776 110.1748050
0.7500000 236.5515797 15.3802334 110.1748050
1.0000000 661.6787581 25.7231172 110.1748050
1.2500000 1198.3037436 34.6165241 110.1748050
1.5000000 1593.7277064 39.9215193 110.1748050
1.7500000 1661.7439382 40.7644936 110.1748050
