# Current(A) O-Beam err ps_pos
-1.7500000 18.7446707 4.3295116 109.8750000
-1.5000000 63.0234053 7.9387282 109.8750000
-1.2500000 243.6526411 15.6093767 109.8750000
-1.0000000 475.5732955 21.8076431 109.8750000
-0.7500000 649.5729366 25.4867208 109.8750000
-0.5000000 683.7143862 26.1479327 109.8750000
-0.2500000 561.9202892 23.7048579 109.8750000
0.0000000 341.5440088 18.4809093 109.8750000
0.2500000 126.3616818 11.2410712 109.8750000
0.5000000 17.7035899 4.2075634 109.8750000
0.7500000 66.7372953 8.1692898 109.8750000
1.0000000 250.3726156 15.8231671 109.8750000
1.2500000 482.1348898 21.9575702 109.8750000
1.5000000 652.8862678 25.5516392 109.8750000
1.7500000 682.2191924 26.1193260 109.8750000
