# Current(A) O-Beam err ps_pos
-1.7500000 29.0915514 5.3936584 109.7998050
-1.5000000 79.0044917 8.8884471 109.7998050
-1.2500000 282.6497797 16.8121914 109.7998050
-1.0000000 544.1299879 23.3265940 109.7998050
-0.7500000 740.3129808 27.2086931 109.7998050
-0.5000000 778.8153575 27.9072635 109.7998050
-0.2500000 641.5061862 25.3279724 109.7998050
0.0000000 393.0449362 19.8253609 109.7998050
0.2500000 150.4330607 12.2651156 109.7998050
0.5000000 27.9175176 5.2837030 109.7998050
0.7500000 83.1913941 9.1209316 109.7998050
1.0000000 290.2259880 17.0360203 109.7998050
1.2500000 551.5278337 23.4846297 109.7998050
1.5000000 744.0487874 27.2772577 109.7998050
1.7500000 777.1299182 27.8770500 109.7998050
