# Coil O-Beam err ps_pos
-0.1000000 0.0010509 0.5220153 -0.8349610
-0.0929340 0.0008098 0.4730222 -0.8349610
-0.0858680 0.0004722 0.4000000 -0.8349610
-0.0788020 0.0002737 0.3482097 -0.8349610
-0.0717360 0.0002402 0.3354102 -0.8349610
-0.0646700 0.0002382 0.3344772 -0.8349610
-0.0576040 0.0002786 0.3482097 -0.8349610
-0.0505380 0.0004422 0.3921097 -0.8349610
-0.0434720 0.0008717 0.4821825 -0.8349610
-0.0364060 0.0009970 0.5117372 -0.8349610
-0.0293400 0.0011887 0.5500000 -0.8349610
-0.0222740 0.0016105 0.6169481 -0.8349610
-0.0152080 0.0018243 0.6500000 -0.8349610
-0.0081420 0.0019586 0.6698881 -0.8349610
-0.0010760 0.0021664 0.6959705 -0.8349610
0.0059900 0.0019222 0.6647368 -0.8349610
0.0130560 0.0019500 0.6647368 -0.8349610
0.0201220 0.0014989 0.6000000 -0.8349610
0.0271880 0.0012368 0.5550901 -0.8349610
0.0342540 0.0009665 0.5043560 -0.8349610
0.0413200 0.0007382 0.4562072 -0.8349610
0.0483860 0.0003809 0.3766630 -0.8349610
0.0554520 0.0002020 0.3278719 -0.8349610
0.0625180 0.0002019 0.3250000 -0.8349610
0.0695840 0.0001615 0.3162278 -0.8349610
0.0766500 0.0001979 0.3316625 -0.8349610
0.0837160 0.0006785 0.4430011 -0.8349610
0.0907820 0.0007469 0.4643544 -0.8349610
0.0978480 0.0011077 0.5332682 -0.8349610
0.1049140 0.0015639 0.6072479 -0.8349610
0.1119800 0.0018319 0.6485561 -0.8349610
