# Coil O-Beam err ps_pos
-0.1000000 0.0030413 0.3601697 0.9338380
-0.0858680 0.0011136 0.2179449 0.9338380
-0.0717360 0.0005861 0.1581139 0.9338380
-0.0646700 0.0013416 0.2392117 0.9338380
-0.0505380 0.0034516 0.3836955 0.9338380
-0.0364060 0.0063366 0.5198825 0.9338380
-0.0222740 0.0087853 0.6121456 0.9338380
-0.0081420 0.0090262 0.6204837 0.9338380
0.0059900 0.0081861 0.5909033 0.9338380
0.0201220 0.0049429 0.4591659 0.9338380
0.0342540 0.0019602 0.2891559 0.9338380
0.0483860 0.0004689 0.1414214 0.9338380
0.0625180 0.0009899 0.2054805 0.9338380
0.0766500 0.0032367 0.3715583 0.9338380
0.0907820 0.0062454 0.5161288 0.9338380
0.1049140 0.0085248 0.6030018 0.9338380
