# Coil O-Beam err ps_pos
-1.7500000 44.7244969 9.4868330 109.6503910
-1.5000000 -5.3405507 8.4852814 109.6503910
-1.2500000 68.0079226 17.0000000 109.6503910
-1.0000000 184.5171001 24.3515913 109.6503910
-0.7500000 342.6091201 29.8998328 109.6503910
-0.5000000 262.6805036 29.0688837 109.6503910
-0.2500000 303.3174280 28.1069386 109.6503910
0.0000000 270.4167719 24.0831892 109.6503910
0.2500000 121.4570995 16.0000000 109.6503910
0.5000000 39.8880235 9.1651514 109.6503910
0.7500000 -1.9383872 8.8881944 109.6503910
1.0000000 11.3454908 15.4596248 109.6503910
1.2500000 179.9321280 24.3926218 109.6503910
1.5000000 340.2071320 29.9165506 109.6503910
1.7500000 343.0659037 30.3973683 109.6503910
