# Coil O-Beam err ps_pos
-1.7500000 8.7157224 8.8881944 108.0747070
-1.5000000 -15.3646355 9.1651514 108.0747070
-1.2500000 51.3552581 16.7630546 108.0747070
-1.0000000 121.3165202 22.8254244 108.0747070
-0.7500000 315.7107494 29.0688837 108.0747070
-0.5000000 309.6610409 29.4448637 108.0747070
-0.2500000 368.3958566 28.9654967 108.0747070
0.0000000 227.0103790 23.1732605 108.0747070
0.2500000 86.7575433 15.4272486 108.0747070
0.5000000 23.7709452 9.6436508 108.0747070
0.7500000 5.3724231 10.3923048 108.0747070
1.0000000 26.3129811 16.1864141 108.0747070
1.2500000 171.3444927 24.0208243 108.0747070
1.5000000 275.6254263 28.4253408 108.0747070
1.7500000 319.9174848 29.5972972 108.0747070
