# Coil_pos O-Beam err ps_pos
-0.1000000 0.0018691 0.2230540 -0.2197270
-0.0858680 0.0007745 0.1435872 -0.2197270
-0.0717360 0.0002875 0.0874890 -0.2197270
-0.0646700 0.0004035 0.1036375 -0.2197270
-0.0505380 0.0012847 0.1849257 -0.2197270
-0.0364060 0.0028337 0.2746490 -0.2197270
-0.0222740 0.0040118 0.3267876 -0.2197270
-0.0081420 0.0044477 0.3440858 -0.2197270
0.0059900 0.0040535 0.3284832 -0.2197270
0.0201220 0.0028616 0.2759943 -0.2197270
0.0342540 0.0014888 0.1990719 -0.2197270
0.0483860 0.0003849 0.1012270 -0.2197270
0.0625180 0.0003293 0.0936239 -0.2197270
0.0766500 0.0011038 0.1714139 -0.2197270
0.0907820 0.0024813 0.2570007 -0.2197270
0.1049140 0.0038309 0.3193357 -0.2197270
