# Coil O-Beam err ps_pos
-0.1000000 0.0042802 0.4222953 0.8239750
-0.0858680 0.0016134 0.2592725 0.8239750
-0.0717360 0.0004067 0.1301708 0.8239750
-0.0646700 0.0006934 0.1699673 0.8239750
-0.0505380 0.0023601 0.3135815 0.8239750
-0.0364060 0.0052536 0.4678556 0.8239750
-0.0222740 0.0078270 0.5710614 0.8239750
-0.0081420 0.0087871 0.6050712 0.8239750
0.0059900 0.0080537 0.5792716 0.8239750
0.0201220 0.0062270 0.5093569 0.8239750
0.0342540 0.0034202 0.3774917 0.8239750
0.0483860 0.0009000 0.1936492 0.8239750
0.0625180 0.0005534 0.1518406 0.8239750
0.0766500 0.0022401 0.3055050 0.8239750
0.0907820 0.0044935 0.4326918 0.8239750
0.1049140 0.0072403 0.5492419 0.8239750
