# Coil O-Beam err ps_pos
-1.7500000 233.0000000 15.2643375 107.9936520
-1.5000000 137.0000000 11.7046999 107.9936520
-1.2500000 491.0000000 22.1585198 107.9936520
-1.0000000 920.0000000 30.3315018 107.9936520
-0.7500000 1389.0000000 37.2692903 107.9936520
-0.5000000 1804.0000000 42.4735212 107.9936520
-0.2500000 1756.0000000 41.9046537 107.9936520
0.0000000 1257.0000000 35.4541958 107.9936520
0.2500000 659.0000000 25.6709953 107.9936520
0.5000000 247.0000000 15.7162336 107.9936520
0.7500000 158.0000000 12.5698051 107.9936520
1.0000000 499.0000000 22.3383079 107.9936520
1.2500000 1062.0000000 32.5883415 107.9936520
1.5000000 1550.0000000 39.3700394 107.9936520
1.7500000 1853.0000000 43.0464865 107.9936520
