# Coil_pos O-Beam err ps_pos
-1.750000000000000000e+00 1.516599762899353152e+02 1.231503050300466384e+01 1.091254880000000043e+02
-1.500000000000000000e+00 2.645238876140551838e+02 1.626419034609639525e+01 1.091254880000000043e+02
-1.250000000000000000e+00 7.193906086972654066e+02 2.682145798977500561e+01 1.091254880000000043e+02
-1.000000000000000000e+00 1.301500866757437734e+03 3.607632002792743009e+01 1.091254880000000043e+02
-7.500000000000000000e-01 1.736019226481740361e+03 4.166556403652469953e+01 1.091254880000000043e+02
-5.000000000000000000e-01 1.817793907344019544e+03 4.263559437071353386e+01 1.091254880000000043e+02
-2.500000000000000000e-01 1.508216279220604974e+03 3.883576031469713286e+01 1.091254880000000043e+02
0.000000000000000000e+00 9.534492246724936422e+02 3.087797313089856388e+01 1.091254880000000043e+02
2.500000000000000000e-01 4.154182217838027213e+02 2.038181105259792147e+01 1.091254880000000043e+02
5.000000000000000000e-01 1.481468623419009134e+02 1.217155956900761815e+01 1.091254880000000043e+02
7.500000000000000000e-01 2.778233013264382407e+02 1.666803231717643996e+01 1.091254880000000043e+02
1.000000000000000000e+00 7.432225137730437154e+02 2.726210765463748587e+01 1.091254880000000043e+02
1.250000000000000000e+00 1.324613007079515683e+03 3.639523330162228376e+01 1.091254880000000043e+02
1.500000000000000000e+00 1.747499949325524994e+03 4.180310932604804464e+01 1.091254880000000043e+02
1.750000000000000000e+00 1.812223810327106094e+03 4.257022210803117446e+01 1.091254880000000043e+02
