# Coil_pos O-Beam err ps_pos
0.0000000 840.5353342 28.9919874 108.2250980
5.0000000 1104.7570602 33.2378859 108.2250980
10.0000000 1172.1954545 34.2373401 108.2250980
15.0000000 1014.8267179 31.8563450 108.2250980
20.0000000 698.0449027 26.4205394 108.2250980
25.0000000 353.4876330 18.8012668 108.2250980
30.0000000 124.3345302 11.1505395 108.2250980
35.0000000 105.8094001 10.2863696 108.2250980
40.0000000 305.6102985 17.4817133 108.2250980
45.0000000 640.7106301 25.3122624 108.2250980
50.0000000 971.8605725 31.1746784 108.2250980
55.0000000 1161.4518744 34.0800803 108.2250980
60.0000000 1130.7005041 33.6258904 108.2250980
65.0000000 892.3850907 29.8728152 108.2250980
70.0000000 545.5368076 23.3567294 108.2250980
75.0000000 234.2872989 15.3064463 108.2250980
80.0000000 87.9752575 9.3795126 108.2250980
85.0000000 167.4001630 12.9383215 108.2250980
90.0000000 439.5572613 20.9656209 108.2250980
95.0000000 791.3525803 28.1309897 108.2250980
