# Coil_pos O-Beam err ps_pos
0.0000000 1215.4998623 34.8640196 109.6499020
5.0000000 1656.0300235 40.6943488 109.6499020
10.0000000 1810.3514194 42.5482246 109.6499020
15.0000000 1614.3363099 40.1788042 109.6499020
20.0000000 1149.4381184 33.9033644 109.6499020
25.0000000 608.8437339 24.6747590 109.6499020
30.0000000 217.1953455 14.7375488 109.6499020
35.0000000 137.2411316 11.7149960 109.6499020
40.0000000 402.2057983 20.0550691 109.6499020
45.0000000 901.9841643 30.0330512 109.6499020
50.0000000 1428.8950007 37.8007275 109.6499020
55.0000000 1763.9822711 41.9997889 109.6499020
60.0000000 1768.0015806 42.0476109 109.6499020
65.0000000 1439.2827186 37.9378797 109.6499020
70.0000000 914.4237092 30.2394396 109.6499020
75.0000000 411.5279588 20.2861519 109.6499020
80.0000000 139.5721151 11.8140643 109.6499020
85.0000000 211.5665197 14.5453264 109.6499020
90.0000000 597.5941385 24.4457387 109.6499020
95.0000000 1137.2424850 33.7230260 109.6499020
