# Coil_pos O-Beam err ps_pos
0.0000000 585.4568601 24.1962158 108.4501950
5.0000000 729.7406101 27.0137115 108.4501950
10.0000000 738.0747911 27.1675319 108.4501950
15.0000000 606.9961621 24.6372921 108.4501950
20.0000000 390.9740092 19.7730627 108.4501950
25.0000000 179.7756157 13.4080429 108.4501950
30.0000000 61.1637679 7.8207268 108.4501950
35.0000000 84.4272226 9.1884287 108.4501950
40.0000000 239.8989289 15.4886710 108.4501950
45.0000000 462.9731392 21.5168106 108.4501950
50.0000000 660.9521111 25.7089889 108.4501950
55.0000000 751.5663449 27.4147104 108.4501950
60.0000000 697.1613986 26.4038141 108.4501950
65.0000000 520.3450658 22.8110733 108.4501950
70.0000000 294.5927824 17.1637054 108.4501950
75.0000000 113.7151550 10.6637308 108.4501950
80.0000000 52.8752768 7.2715388 108.4501950
85.0000000 137.3549559 11.7198531 108.4501950
90.0000000 332.0489440 18.2222102 108.4501950
95.0000000 556.0528054 23.5807719 108.4501950
