# Coil_pos O-Beam err ps_pos
0.0000000 1898.8345812 9.2303846 109.3500980
5.0000000 2904.4343998 11.0634533 109.3500980
10.0000000 3420.4036722 11.5394974 109.3500980
15.0000000 3230.9155776 11.2231903 109.3500980
20.0000000 2415.2318379 9.8468269 109.3500980
25.0000000 1314.5480203 7.6315136 109.3500980
30.0000000 389.2734981 4.6432747 109.3500980
35.0000000 26.4449989 2.7928480 109.3500980
40.0000000 377.8314860 4.5694639 109.3500980
45.0000000 1296.4501204 7.4484898 109.3500980
50.0000000 2398.0482921 9.6560862 109.3500980
55.0000000 3221.8341590 11.3613379 109.3500980
60.0000000 3423.2230833 11.4943464 109.3500980
65.0000000 2917.9752979 10.9654001 109.3500980
70.0000000 1917.4328907 9.0022219 109.3500980
75.0000000 840.1166897 6.6902915 109.3500980
80.0000000 136.6615358 3.6496575 109.3500980
85.0000000 101.3184584 3.4985711 109.3500980
90.0000000 748.8712527 6.1514226 109.3500980
95.0000000 1808.4525076 8.8971906 109.3500980
